Provider Name/Clinic Name,County,Pfizer Doses Requested,Total Allocated - Pfizer,Moderna Doses Requested,Total Allocated - Moderna
Transitional Care Clinic,Henry,0,0,2700,200
Walgreens #06209,Henry,0,0,800,0
First Choice Primary Care-warner Robins,Houston,0,0,400,500
Fresenius Warner Robins Home Dialysis,Houston,0,0,100,0
Houston County Health Department,Houston,0,0,15100,4500
Houston Healthcare,Houston,21450,5850,400,300
Houston Primary Care Assoc. P.C.,Houston,0,0,1200,500
Kroger 257,Houston,0,0,1300,200
Kroger Pharmacy 01100407,Houston,0,0,1300,200
Kroger Pharmacy 01100641,Houston,0,0,2600,200
Kroger Pharmacy 01100696,Houston,0,0,1300,200
medical group of central ga,Houston,0,0,3500,0
Medicine Stop,Houston,0,0,10100,2300
prime medical associates,Houston,0,0,1000,0
Publix Pharmacy #1622,Houston,0,0,1000,100
Publix Pharmacy#1008,Houston,0,0,1400,500
Publix Pharmacy#1233,Houston,0,0,1300,300
Publix Pharmacy#1291,Houston,0,0,1300,300
Robins Pharmacy,Houston,1950,0,9000,500
"South Houston Internal Medicine, Llc",Houston,0,0,1500,100
U Save It Pharmacy - Centerville,Houston,0,0,1100,400
Irwin Co Health Dept-new,Irwin,0,0,700,1000
Irwin County Hospital,Irwin,0,0,800,600
Ocilla Pharmacy,Irwin,0,0,400,0
South Central Family Healthcare,Irwin,0,0,1400,800
Crawford W. Long Pharmacy,Jackson,0,0,1600,500
Ingles Pharmacy #419,Jackson,0,0,1000,700
Jackson County Health Deptcommerce,Jackson,1950,975,2000,0
Jefferson Drugs,Jackson,0,0,200,0
Medlink Georgia - Jackson,Jackson,0,0,300,400
Ngpg Jefferson,Jackson,0,0,500,100
Ngpg West Jackson,Jackson,0,0,1500,100
U Save It Pharmacy - Commerce,Jackson,0,0,600,200
Wellness First Pc,Jackson,0,0,1300,300
Jasper County Health Dept,Jasper,0,0,2300,1600
Jasper Memorial Hospital,Jasper,0,0,2300,800
Jeff Davis Health Department,Jeff Davis,0,0,2000,1300
Jeff Davis Hospital,Jeff Davis,0,0,300,400
ara132,Jefferson,0,0,100,0
Barneys Pharmacy #819,Jefferson,0,0,400,400
Jefferson County Health Dept,Jefferson,0,0,1400,1600
Jefferson Hospital,Jefferson,0,0,1600,900
North Jefferson Medical Center,Jefferson,0,0,300,100
Eagle Pharmacy,Jenkins,0,0,13400,700
Jenkins County Health Department,Jenkins,0,0,1000,1100
Jenkins County Medical Center,Jenkins,0,0,500,500
Johnson County Center For Community Health,Johnson,0,0,500,600
Johnson County Health Department,Johnson,0,0,2400,2300
"Community Health Care Systems, Inc- Jones",Jones,0,0,100,200
Ingles Pharmacy #486,Jones,0,0,1000,500
Jones County Health Department,Jones,0,0,2200,1500
Hines Prescription Shop,Lamar,0,0,3600,400
Ingles Pharmacy #498,Lamar,0,0,1100,700
Lamar County Health Department,Lamar,6825,6825,0,0
Lakeland Drug Company,Lanier,0,0,4000,300
Lanier County Health Department,Lanier,0,0,1600,1700
Cancer Center Of Middle Georgia,Laurens,0,0,400,0
Fairview Park Hospital,Laurens,975,975,0,0
Kroger Pharmacy 01100674,Laurens,0,0,1300,600
Laurens County Health Dept,Laurens,0,0,12100,7600
Medical Center Llp,Laurens,20475,2925,15500,2000
Lee County Health Dept,Lee,0,0,2400,2800
Publix Pharmacy#1349,Lee,0,0,1000,100
Sumter Pediatrics - Leesburg,Lee,0,0,300,200
U Save It Pharmacy - Leesburg,Lee,0,0,200,200
Coastal Drug Company,Liberty,0,0,1700,1000
Davita Hinesville Dialysis,Liberty,0,0,400,0
Diversity Health Center,Liberty,0,0,900,800
Diversity Health Center,Liberty,0,0,400,400
Hinesville Pharmacy,Liberty,0,0,3500,400
Liberty County Health Department,Liberty,0,0,4700,2200
Liberty Regional Medical Center,Liberty,0,0,3400,1400
"Robert Glenn Carter, Md",Liberty,0,0,1800,300
City Pharmacy,Lincoln,0,0,700,400
Crawford & Breazeale Drug Co.,Lincoln,0,0,1400,400
Lincoln County Health Department,Lincoln,0,0,1200,1300
Diversity Health Center,Long,0,0,300,400
Long County Health Department,Long,0,0,1300,1300
"Barnes Drug Stores Of Valdosta, Inc",Lowndes,0,0,2800,400
Chancy Drugs Hahira,Lowndes,0,0,1800,300
Chancy Drugs Lake Park,Lowndes,0,0,1000,200
Chancy Drugs Valdosta,Lowndes,0,0,1100,300
City Of Valdosta--wellness Clinic (Careh,Lowndes,0,0,100,0
Griner Medical Group,Lowndes,0,0,1000,600
Hogan'S Pharmacy,Lowndes,0,0,800,0
Lowndes County Health Department,Lowndes,0,0,16400,5700
Northside Family Health,Lowndes,0,0,1200,200
Partnership Health Center,Lowndes,0,0,100,100
Publix Pharmacy#0430,Lowndes,0,0,1100,300
Publix Pharmacy#1435,Lowndes,0,0,1500,700
South Georgia Medical Center,Lowndes,22425,10725,11300,2700
The Medicine Shoppe,Lowndes,0,0,600,200
U Save It Pharmacy - Valdosta,Lowndes,0,0,1800,200
valdosta state university student heal,Lowndes,975,0,0,0
Walgreens 6899,Lowndes,0,0,400,0
Georgia Mountains Health Dahlonega,Lumpkin,0,0,700,500
Gold City Convalescent Care Home,Lumpkin,0,0,200,100
Lumpkin County Health Department,Lumpkin,0,0,6200,2200
Mount Sinai Wellness Center,Lumpkin,0,0,400,500
Ngpg Dahlonega Family Medicine,Lumpkin,0,0,1500,0
Ngpg Dahlonega Internal Medicine,Lumpkin,0,0,600,0
University Of North Georgia,Lumpkin,0,0,600,100
Walmart Store 2513,Lumpkin,0,0,1200,500
Macon County Health Department,Macon,0,0,3600,1600
Sumter Pediatrics-montezuma,Macon,0,0,200,100
Adams Primary Care Pc,Madison,0,0,2200,400
Ingles Pharmacy #450,Madison,0,0,1000,600
Madison County Health Dept,Madison,0,0,900,300
Medlink Georgia - Colbert,Madison,0,0,200,400
Medlink Georgia - Habersham,Madison,0,0,1000,1000
The Medicine Shoppe #1527,Madison,0,0,1900,0
Marion County Health Department,Marion,0,0,2600,1600
Family Care Group Of Thomson,McDuffie,0,0,3500,1200
Mcduffie County Health Department,McDuffie,0,0,4200,2300
Mcintosh County Health Department,McIntosh,0,0,1400,1400
Meriwether County Health Department,Meriwether,975,0,1700,1500
Roosevelt Warm Springs Rehab And Specialty Hosp,Meriwether,0,0,0,0
U Save It Pharmacy - Greenville,Meriwether,0,0,400,300
U Save It Pharmacy - Woodbury,Meriwether,0,0,400,300
Warm Springs Medical Center,Meriwether,1950,0,300,0
Yourtown Health Warm Springs,Meriwether,0,0,1000,300
Colquitt Complete Care,Miller,0,0,1300,700
Miller County Health Dept,Miller,0,0,1300,1700
Miller County Hospital,Miller,0,0,1000,1700
Collins Family Pharmacy,Mitchell,0,0,1100,400
Mitchell County Health Department,Mitchell,0,0,2500,2100
Pelham Pharmacy,Mitchell,0,0,1400,200
Total Care Pharmacy,Mitchell,0,0,400,0
Castleberry Drugs,Monroe,0,0,11900,2900
Monroe County Health Department,Monroe,0,0,3100,1900
Monroe County Hospital,Monroe,0,0,400,400
U Save It Pharmacy - Forsyth,Monroe,0,0,700,300
Montgomery County Health Department,Montgomery,0,0,2600,1600
Ingles Pharmacy #444,Morgan,0,0,1000,300
Morgan County Health Dept,Morgan,0,0,600,200
Morgan Medical Center,Morgan,0,0,2000,1000
"W Daniel Zant, Jr. Md Pc",Morgan,0,0,1300,0
Food City Pharmacy #230,Murray,0,0,100,0
"Georgia Mountains Health Chatsworth ""Healthy Families""",Murray,0,0,800,600
Ingles Pharmacy #86,Murray,0,0,1000,600
Murray County Health Department,Murray,0,0,10800,3600
columbus dialysis,Muscogee,0,0,1300,0
"Columbus Family Medicine, Llc",Muscogee,0,0,1000,200
Columbus Health Dept,Muscogee,0,0,17400,4000
Dcidialysis Clinic Inc East,Muscogee,0,0,100,0
Nightingale Infusion,Muscogee,2925,975,500,200
North Columbus Pharmacy,Muscogee,0,0,800,400
Orchard View Rehabilitation & Skilled Nu,Muscogee,0,0,400,400
Piedmont Columbus Regional Midtown For Ga Region I Coalition Muscogee,10725,8775,20000,5700,NA
Publix Pharmacy#0474,Muscogee,0,0,1200,400
Publix Pharmacy#0562,Muscogee,0,0,1400,700
Publix Pharmacy#0650,Muscogee,0,0,1200,500
Publix Pharmacy#1390,Muscogee,0,0,1400,700
Renew Health Clinic (Dr. Jacqueline Owusu),Muscogee,0,0,200,0
rivertown psychiatry pc,Muscogee,0,0,1000,0
Sams Club Store 8213,Muscogee,0,0,1000,0
St. Francis Hospital,Muscogee,6825,4875,4000,1600
Valley Healthcare System,Muscogee,975,0,600,600
Walgreens #06328,Muscogee,0,0,800,0
West Central Georgia Regional Hospital,Muscogee,0,0,800,800
Zoe Center For Pediatrics And Adolescent Health,Muscogee,1950,0,1900,0
Carmichaels Of Covington Inc,Newton,0,0,200,0
Kroger Pharmacy #214,Newton,0,0,1400,200
Kroger Pharmacy 01100436,Newton,0,0,1300,400
Kroger Pharmacy 01100621,Newton,0,0,1300,200
Newton County Health Dept,Newton,0,0,5500,4700
Piedmont Newton Hospital,Newton,0,0,7000,2000
Publix Pharmacy#0744,Newton,0,0,1100,500
Resurgens East Surgery Center,Newton,0,0,100,100
Jennings Mill Drug Company,Oconee,0,0,500,0
Nightingale Infusion,Oconee,3900,975,500,200
Oconee Primary Care,Oconee,0,0,500,300
Publix Pharmacy#0617,Oconee,0,0,1200,400
Reddy Medical Group,Oconee,0,0,600,0
Tmb Medical,Oconee,0,0,1000,200
Urgent Care Of Oconee,Oconee,13650,0,11900,1200
Medlink Georgia - Oglethorpe,Oglethorpe,0,0,600,500
Oglethorpe County Ems,Oglethorpe,0,0,400,0
Oglethorpe County Health Dept,Oglethorpe,0,0,1200,300
Ingles Pharmacy #414,Paulding,0,0,1100,700
Kroger Pharmacy 01100634,Paulding,0,0,1400,200
Kroger Pharmacy 01100673,Paulding,0,0,1400,200
Lifetime Family Medicine,Paulding,0,0,700,700
Paulding County Health Department,Paulding,0,0,21700,6400
Publix Pharmacy#1063,Paulding,0,0,1100,300
Publix Pharmacy#1184,Paulding,0,0,1000,200
Publix Pharmacy#1217,Paulding,0,0,1200,300
"Wellstar Paulding Medical Center, Inc.",Paulding,16575,5850,20000,3100
Connect Care Pharmacy,Peach,0,0,500,200
Five Points Pharmacy,Peach,0,0,2000,1300
Peach County Health Dept,Peach,0,0,1800,1300
U Save It Pharmacy - Byron,Peach,0,0,700,200
U Save It Pharmacy - Fort Valley,Peach,0,0,500,200
Bell's Family Pharmacy,Pickens,0,0,2100,300
Good Samaritan Health & Wellness Center,Pickens,0,0,600,700
Ingles Pharmacy #437,Pickens,0,0,1100,700
Jasper Drug Store,Pickens,0,0,900,0
Pickens County Ems,Pickens,0,0,1500,200
Pickens County Health Department,Pickens,0,0,15200,3400
Piedmont Mountainside Hospital,Pickens,0,0,1300,1300
Pierce County Health Department,Pierce,0,0,1800,1400
Walgreens #17795,Pierce,0,0,800,0
family health clinic of pike county,Pike,0,0,2000,0
Pike County Health Department,Pike,0,0,1500,1500
Azalea Estates Of Fayetteville,Polk,0,0,700,300
Kroger Pharmacy 01100429,Polk,0,0,1400,200
Polk County Health Department,Polk,0,0,12500,4200
Primary Healthcare Center Of Polk,Polk,0,0,200,400
Publix Pharmacy#0880,Polk,0,0,1400,400
Batts Drug Company,Pulaski,0,0,1200,0
Middle Ga Pediatric Associates/Taylor Reg Medical Ctr,Pulaski,0,0,5000,1800
Pinewood Manor,Pulaski,0,0,900,300
Pulaski County Health Department,Pulaski,0,0,2600,2800
lake oconee primary urgent care,Putnam,0,0,500,0
Putnam County Health Department,Putnam,0,0,3400,1900
Putnam General Hospital,Putnam,0,0,3400,1000
Walmart Store 5482,Putnam,0,0,900,300
Quitman County Health Department,Quitman,0,0,2400,1000
Ingles Pharmacy #488,Rabun,0,0,1100,700
Medlink Georgia - Rabun,Rabun,0,0,500,500
Medlink Georgia Rabun North,Rabun,0,0,400,400
Mountain Lakes Medical Center,Rabun,0,0,600,500
Ngpg Clayton,Rabun,0,0,200,0
Rabun County Health Department,Rabun,0,0,6300,2600
U Save It Pharmacy - Clayton,Rabun,0,0,400,200
Randolph County Health Department,Randolph,0,0,2700,1300
"Au Medical Center, Inc.",Richmond,8775,13650,6900,4500
Augusta Developmental Specialists,Richmond,0,0,300,0
Barney's Pharmacy,Richmond,0,0,1600,1000
Barney's Pharmacy At Furys Ferry,Richmond,0,0,300,100
Center For Primary - Central,Richmond,0,0,2000,0
Center For Primary Care-south,Richmond,0,0,1000,0
Christ Community Health,Richmond,0,0,700,500
Christ Community Health,Richmond,0,0,1600,900
Doctors Hospital Of Augusta,Richmond,3900,4875,1600,1500
East Central Regional Hospital,Richmond,0,0,600,500
Fkc Augusta Home Therapies,Richmond,0,0,200,100
Georgia Women's Health Center,Richmond,0,0,100,0
Hephzibah Pharmacy,Richmond,0,0,800,400
Kroger Pharmacy 01100676,Richmond,0,0,1500,500
Mednow Urgent Care,Richmond,0,0,2000,100
Nightingale Infusion,Richmond,2925,975,500,200
Publix Pharmacy#0525,Richmond,0,0,1000,500
Richmond County Health Department - District 6,Richmond,5850,7800,11500,9400
Southern Family Medical Center,Richmond,0,0,3300,700
University Hospital,Richmond,2925,2925,27900,10500
urgent mdwheeler,Richmond,0,0,1000,0
Walgreens #19735,Richmond,0,0,800,0
Walton Rehabilitation Hospital,Richmond,0,0,500,300
"William T. Neumann, Md. Pc",Richmond,0,0,3000,500
Conyers Pharmacy,Rockdale,0,0,1300,300
Eagles Landing Family Practice,Rockdale,0,0,1100,100
Ingles Pharmacy #469,Rockdale,0,0,1000,600
kaushik amin md,Rockdale,0,0,1000,0
Kroger Pharmacy #320,Rockdale,0,0,1400,200
Piedmont Rockdale Hospital,Rockdale,0,0,7200,2100
Publix Pharmacy#1071,Rockdale,0,0,1600,700
Publix Pharmacy#1118,Rockdale,0,0,1000,100
Publix Pharmacy#1411,Rockdale,0,0,1000,100
Reagan's Pharmacy,Rockdale,0,0,13900,600
Rockdale County Health Department,Rockdale,0,0,5000,1500
The Women's Center,Rockdale,0,0,2200,300
Schley County Health Department,Schley,0,0,3200,1200
Optim Medical Center Screven,Screven,975,975,600,500
Ross Drug,Screven,0,0,1200,500
Screven County Health Dept,Screven,0,0,1000,1300
Seminole County Health Department,Seminole,0,0,1200,1600
Ingles Pharmacy #457,Spalding,0,0,1200,900
Kroger Pharmacy 01100619,Spalding,0,0,1300,200
Spalding County Health Department,Spalding,3900,9750,0,0
U Save It Pharmacy - Griffin,Spalding,0,0,600,300
Wellstar Spalding Regional Hospital,Spalding,5850,975,10000,500
Wynn's Pharmacy,Spalding,0,975,800,100
Ingles Pharmacy #436,Stephens,0,0,1000,600
Ngpg Toccoa Pediatrics,Stephens,0,0,3000,0
Pruitthealth Pharmacy Services Toccoa,Stephens,0,0,200,0
Stephens County Health Department,Stephens,0,0,6800,2400
Stephens County Hospital,Stephens,2925,3900,1200,1300
Stewart County Health Department,Stewart,0,0,1400,1300
Stewart Detention Center,Stewart,3900,0,3600,200
U Save It Pharmacy - Richland,Stewart,0,0,200,300
Clinic Drug Store,Sumter,0,0,2700,400
Doctor's Pharmacy,Sumter,0,0,200,0
herschel a smith health center ga sout,Sumter,0,0,600,0
Phoebe Sumter Medical Center,Sumter,15600,2925,13900,2200
Sumter County Health Department,Sumter,0,0,2500,1300
Sumter Pediatrics - Americus,Sumter,0,0,300,200
Walgreens #11106,Sumter,0,0,800,200
Talbot County Health Department,Talbot,0,0,3900,1300
Taliaferro County Health Department,Taliaferro,0,0,1500,1300
East Georgia Healthcare Center,Tattnall,0,0,1700,800
Glenvue Health And Rehabilitation,Tattnall,0,0,400,300
Optim Medical Center Tattnall,Tattnall,975,975,800,300
Southern Medical Group,Tattnall,0,0,400,100
Strickland's Pharmacy,Tattnall,0,0,3700,600
Tattnall Co Health Dept - Glennville,Tattnall,0,0,1200,1200
Tattnall Co Health Dept - Reidsville,Tattnall,0,0,1300,1200
Butler - Careconnect Family Practice,Taylor,0,0,700,200
Knight'S Pharmacy,Taylor,0,0,800,800
Smith's Pharmacy And Home Health,Taylor,0,0,1200,0
Taylor County Health Department,Taylor,0,0,3200,1700
Mcrae Correctional Facility,Telfair,0,0,1000,0
Telfair County Health Department,Telfair,0,0,3200,2900
Moseley Drug Company,Terrell,0,0,300,300
Terrell County Health Department,Terrell,0,0,1200,1300
John D. Archbold Memorial Hospital,Thomas,13650,11700,11000,4300
Mcintosh Clinic,Thomas,0,0,100,200
Primary Care Of Southwest Georgia Thomasville,Thomas,0,0,400,400
Publix Pharmacy#1498,Thomas,0,0,1200,600
Thomas County Health Department,Thomas,0,0,2900,3200
Thomasville Family Medicine Center,Thomas,0,0,2600,900
Family Prime Care Llc,Tift,0,0,300,100
"Moon's Pharmacy, Inc.",Tift,1950,1950,1700,400
New Medical Center/Kidscare Clinic,Tift,0,0,3800,600
Omega Pharmacy,Tift,0,0,1200,300
Publix Pharmacy#1422,Tift,0,0,1000,200
Tift County Board Of Health Dba Diversified Enterprises Tift,0,0,400,400,NA
Tift County Health Department,Tift,0,0,3000,2200
Tift Regional Health System,Tift,10725,8775,7900,1200
Tifton Drug Company,Tift,15600,1950,1000,400
Allergy Asthma Clinic Of Southeast Ga,Toombs,0,0,2500,0
Fresenius Medical Care Of Toombs County,Toombs,0,0,200,200
Meadows Regional Medical Center,Toombs,0,0,2900,1200
Toombs County Health Department,Toombs,0,0,1800,1500
Chatuge Regional Hospital,Towns,0,0,600,600
Ingles Pharmacy #483,Towns,0,0,1000,600
"Synergy Health, Inc.",Towns,0,0,4000,1100
Towns County Health Department,Towns,0,0,6500,1800
Treutlen County Health Department,Treutlen,0,0,1800,2000
Holmes Pharmacy,Troup,0,0,2300,900
Kroger Pharmacy 01100339,Troup,0,0,1400,200
lagrange internal medicine,Troup,0,0,5000,0
Publix Pharmacy#0540,Troup,0,0,1000,300
Troup County Health Department,Troup,0,0,7800,4000
Urgencare Clinic,Troup,0,0,100,100
Ashburn Family Pharmacy,Turner,0,0,200,0
Turner County Health Department,Turner,0,0,2200,1600
"Community Health Care Systems, Inc- Twiggs",Twiggs,0,0,100,100
Twiggs County Health Department,Twiggs,0,0,2700,1600
Blairsville Internal Medicine,Union,0,0,4700,400
Ingles Pharmacy #98,Union,0,0,1300,900
Union County Health Department,Union,0,0,7900,2600
Union General Hospital Inc.,Union,0,0,1400,1400
Ingles Pharmacy #449,Upson,0,0,1000,600
Upson County Health Department,Upson,3900,2925,500,500
Upson Regional Medical Center,Upson,11700,9750,0,200
Food City Pharmacy #217,Walker,0,0,600,100
Food City Pharmacy #252,Walker,0,0,600,100
Primary Healthcare Center Of Rossville,Walker,0,0,1500,1100
Walker County Health Department,Walker,0,0,12200,4000
Carmichael Drugs,Walton,0,0,1200,0
"David A. Fields, Md Family Care, Pc",Walton,0,0,100,0
Dr Siruvella Md Pc,Walton,0,0,900,100
Fkc Walton,Walton,0,0,100,0
Kroger Pharmacy 01100679,Walton,0,0,1500,500
Loganville Family Medicine,Walton,0,0,600,100
Medlink Georgia - Monroe,Walton,0,0,400,500
Our Family Health Center,Walton,0,0,1400,200
Piedmont Walton Hospital,Walton,0,0,8500,1700
Publix Pharmacy#0603,Walton,0,0,1300,700
Walton County Emergency Management Agency,Walton,0,0,100,0
Walton County Health Dept,Walton,0,0,2000,200
Kroger Pharmacy 439,Ware,0,0,1300,300
Mckinney Medical Center,Ware,0,0,300,100
Memorial Satilla Health,Ware,0,0,1300,1300
Ware County Health Department,Ware,0,0,8500,3500
"Community Health Care Systems, Inc- Warren",Warren,0,0,300,400
Warren County Health Department,Warren,0,0,1500,1500
"Nightingale Infusion, Inc",Washington,2925,1950,600,200
Tennille Community Health Center,Washington,0,0,500,500
Washington County Health Department,Washington,0,0,5100,2100
Washington County Regional Medical Center,Washington,0,0,2800,700
Diversity Health Center,Wayne,0,0,100,100
Misty's Pharmacy,Wayne,0,0,1100,100
The Pediatric Center,Wayne,0,0,100,0
Walmart Store 2630,Wayne,0,0,800,400
Wayne County Health Department,Wayne,0,0,1700,1600
Wayne Memorial Hospital,Wayne,0,0,3400,900
Webster County Health Department,Webster,0,0,3400,1100
Alamo - Careconnect Family Practice,Wheeler,0,0,300,300
Wheeler County Health Department,Wheeler,0,0,1500,1700
Cleveland Drug Company,White,0,0,1300,200
Ingles Pharmacy #489,White,0,0,1100,700
Medlink Georgia - White,White,0,0,600,600
Ngpg Cleveland,White,0,0,1500,0
White County Health Department,White,0,0,5100,1600
"Cornerstone Medical Group, P.C.",Whitfield,1950,0,3500,300
Dalton Family Practice,Whitfield,0,0,1500,500
dalton state college ken white student h,Whitfield,0,0,100,0
Family Pharmacy,Whitfield,975,0,0,0
Food City Pharmacy #211,Whitfield,0,0,600,100
Hamilton Ems,Whitfield,0,0,300,300
Hamilton Medical Center,Whitfield,8775,8775,1900,1100
Kroger Pharmacy 01100265,Whitfield,0,0,1100,600
Kroger Pharmacy 01100458,Whitfield,0,0,1400,800
Whitfield County Health Department,Whitfield,37050,20475,23400,5900
Wilcox County Health Department,Wilcox,0,0,1100,1300
Fievet Pharmacy,Wilkes,975,0,1000,0
Wilkes County Health Department,Wilkes,0,0,2600,2700
"Community Health Care Systems, Inc- Wilkinson",Wilkinson,0,0,100,100
"Gordon's Drugs, Inc",Wilkinson,0,0,14300,400
Wilkinson County Health Department,Wilkinson,0,0,2800,1600
Glenn's Corner Pharmacy,Worth,0,0,400,0
Phoebe Worth Medical Center,Worth,13650,2925,11000,700
Worth County Health Department,Worth,0,0,1700,1900
